_elapsed,_wall,angular.x,angular.y,angular.z,linear.x,linear.y,linear.z
11.831753,1788156955.950502,0.0,0.0,0.0,0.0,0.0,0.0
11.935184,1788156956.053933,0.0,0.0,0.0,0.0,0.0,0.0
12.035948,1788156956.154696,0.0,0.0,0.0,0.0,0.0,0.0
12.139211,1788156956.257960,0.0,0.0,0.0,0.0,0.0,0.0
12.242521,1788156956.361269,0.0,0.0,0.0,0.0,0.0,0.0
12.350764,1788156956.469513,0.0,0.0,0.0,0.0,0.0,0.0
12.453047,1788156956.571796,0.0,0.0,0.0,0.0,0.0,0.0
12.556213,1788156956.674962,0.0,0.0,0.0,0.0,0.0,0.0
12.659734,1788156956.778483,0.0,0.0,0.0,0.0,0.0,0.0
12.761883,1788156956.880632,0.0,0.0,0.0,0.0,0.0,0.0
12.864053,1788156956.982802,0.0,0.0,0.0,0.0,0.0,0.0
12.966311,1788156957.085059,0.0,0.0,0.0,0.0,0.0,0.0
13.068520,1788156957.187268,0.0,0.0,0.0,0.0,0.0,0.0
13.170651,1788156957.289399,0.0,0.0,0.0,0.0,0.0,0.0
13.272772,1788156957.391520,0.0,0.0,0.0,0.0,0.0,0.0
13.375458,1788156957.494206,0.0,0.0,0.0,0.0,0.0,0.0
13.478929,1788156957.597678,0.0,0.0,0.0,0.0,0.0,0.0
13.581362,1788156957.700111,0.0,0.0,0.0,0.0,0.0,0.0
13.684738,1788156957.803487,0.0,0.0,0.0,0.0,0.0,0.0
13.788135,1788156957.906883,0.0,0.0,0.0,0.0,0.0,0.0
13.892749,1788156958.011498,0.0,0.0,0.0,0.0,0.0,0.0
13.994302,1788156958.113050,0.0,0.0,0.0,0.0,0.0,0.0
14.096545,1788156958.215294,0.0,0.0,0.0,0.0,0.0,0.0
14.199956,1788156958.318705,0.0,0.0,0.0,0.0,0.0,0.0
14.301551,1788156958.420300,0.0,0.0,0.0,0.0,0.0,0.0
14.403662,1788156958.522411,0.0,0.0,0.0,0.0,0.0,0.0
14.505849,1788156958.624598,0.0,0.0,0.0,0.0,0.0,0.0
14.608096,1788156958.726844,0.0,0.0,0.0,0.0,0.0,0.0
14.712452,1788156958.831200,0.0,0.0,0.0,0.0,0.0,0.0
14.813174,1788156958.931922,0.0,0.0,0.0,0.0,0.0,0.0
14.916450,1788156959.035198,0.0,0.0,0.0,0.0,0.0,0.0
15.020128,1788156959.138877,0.0,0.0,0.0,0.0,0.0,0.0
15.121286,1788156959.240035,0.0,0.0,0.0,0.0,0.0,0.0
15.224233,1788156959.342982,0.0,0.0,0.0,0.0,0.0,0.0
15.328062,1788156959.446810,0.0,0.0,0.0,0.0,0.0,0.0
15.428836,1788156959.547585,0.0,0.0,0.0,0.0,0.0,0.0
15.532685,1788156959.651433,0.0,0.0,0.0,0.0,0.0,0.0
15.637110,1788156959.755858,0.0,0.0,0.0,0.0,0.0,0.0
15.738052,1788156959.856801,0.0,0.0,0.0,0.0,0.0,0.0
15.842765,1788156959.961513,0.0,0.0,0.0,0.0,0.0,0.0
15.947151,1788156960.065900,0.0,0.0,0.0,0.0,0.0,0.0
16.050221,1788156960.168970,0.0,0.0,0.0,0.0,0.0,0.0
16.155349,1788156960.274098,0.0,0.0,0.0,0.0,0.0,0.0
16.258345,1788156960.377093,0.0,0.0,0.0,0.0,0.0,0.0
16.361432,1788156960.480181,0.0,0.0,0.0,0.0,0.0,0.0
16.465526,1788156960.584274,0.0,0.0,0.0,0.0,0.0,0.0
16.566666,1788156960.685415,0.0,0.0,0.0,0.0,0.0,0.0
16.668704,1788156960.787452,0.0,0.0,0.0,0.0,0.0,0.0
16.770739,1788156960.889488,0.0,0.0,0.0,0.0,0.0,0.0
16.872731,1788156960.991480,0.0,0.0,0.0,0.0,0.0,0.0
16.974771,1788156961.093519,0.0,0.0,0.0,0.0,0.0,0.0
17.077550,1788156961.196299,0.0,0.0,0.0,0.0,0.0,0.0
17.187608,1788156961.306357,0.0,0.0,0.0,0.0,0.0,0.0
17.290065,1788156961.408813,0.0,0.0,0.0,0.0,0.0,0.0
17.391789,1788156961.510537,0.0,0.0,0.0,0.0,0.0,0.0
17.496163,1788156961.614912,0.0,0.0,0.0,0.0,0.0,0.0
17.601074,1788156961.719823,0.0,0.0,0.0,0.0,0.0,0.0
17.704551,1788156961.823299,0.0,0.0,0.0,0.0,0.0,0.0
17.806737,1788156961.925486,0.0,0.0,0.0,0.0,0.0,0.0
17.909235,1788156962.027983,0.0,0.0,0.0,0.0,0.0,0.0
18.011629,1788156962.130378,0.0,0.0,0.0,0.0,0.0,0.0
18.114209,1788156962.232958,0.0,0.0,0.0,0.0,0.0,0.0
18.216533,1788156962.335282,0.0,0.0,0.0,0.0,0.0,0.0
18.318644,1788156962.437393,0.0,0.0,0.0,0.0,0.0,0.0
18.421853,1788156962.540602,0.0,0.0,0.0,0.0,0.0,0.0
18.526755,1788156962.645504,0.0,0.0,0.0,0.0,0.0,0.0
18.626892,1788156962.745641,0.0,0.0,0.0,0.0,0.0,0.0
18.731728,1788156962.850477,0.0,0.0,0.0,0.0,0.0,0.0
18.832568,1788156962.951317,0.0,0.0,0.0,0.0,0.0,0.0
18.936556,1788156963.055304,0.0,0.0,0.0,0.0,0.0,0.0
19.040642,1788156963.159391,0.0,0.0,0.0,0.0,0.0,0.0
19.142832,1788156963.261581,0.0,0.0,0.0,0.0,0.0,0.0
19.246791,1788156963.365540,0.0,0.0,0.0,0.0,0.0,0.0
19.351330,1788156963.470079,0.0,0.0,0.0,0.0,0.0,0.0
