_elapsed,_wall,contact_count,elapsed_s,state
34.013242,1788156978.131990,0,67.06162056299218,IDLE
34.116583,1788156978.235332,0,67.164030859989,IDLE
34.217546,1788156978.336295,0,67.2661741549964,IDLE
34.322999,1788156978.441748,0,67.36910006699327,IDLE
34.427804,1788156978.546552,0,67.47614174798946,IDLE
34.529644,1788156978.648393,0,67.57820015399193,IDLE
34.632198,1788156978.750947,0,67.68077571099275,IDLE
34.735781,1788156978.854530,0,67.78389192098984,IDLE
34.839395,1788156978.958143,0,67.88761381999939,IDLE
34.941344,1788156979.060092,0,67.98966411399306,IDLE
35.044016,1788156979.162765,0,68.09258202600176,IDLE
35.146265,1788156979.265014,0,68.19458415400004,IDLE
35.248791,1788156979.367539,0,68.29736769400188,IDLE
35.352401,1788156979.471150,0,68.40082794299815,IDLE
35.454964,1788156979.573713,0,68.50351926099393,IDLE
35.557511,1788156979.676260,0,68.60570111199922,IDLE
35.660660,1788156979.779409,0,68.70873222799855,IDLE
35.762541,1788156979.881290,0,68.81095319100132,IDLE
35.865502,1788156979.984251,0,68.91335745099059,IDLE
35.967878,1788156980.086627,0,69.01646575299674,IDLE
36.070196,1788156980.188944,0,69.11889317999885,IDLE
36.172786,1788156980.291535,0,69.22142494100262,IDLE
36.275265,1788156980.394014,0,69.32351866200042,IDLE
36.377413,1788156980.496162,0,69.42603116299142,IDLE
36.479769,1788156980.598518,0,69.52810594000039,IDLE
36.582611,1788156980.701360,0,69.63062782998895,IDLE
36.685235,1788156980.803984,0,69.73322864699003,IDLE
36.787807,1788156980.906555,0,69.83608826198906,IDLE
36.890571,1788156981.009320,0,69.93915674899472,IDLE
36.993742,1788156981.112490,0,70.0420462530019,IDLE
37.096426,1788156981.215175,0,70.14504186899285,IDLE
37.199052,1788156981.317801,0,70.24706809000054,IDLE
37.301358,1788156981.420106,0,70.34993738999765,IDLE
37.404946,1788156981.523694,0,70.45350980600051,IDLE
37.508844,1788156981.627593,0,70.55704403699201,IDLE
37.622250,1788156981.740999,0,70.66512924399285,IDLE
37.719869,1788156981.838618,0,70.76826661999803,IDLE
37.823763,1788156981.942512,0,70.87210740799492,IDLE
37.926205,1788156982.044953,0,70.97479235500214,IDLE
38.029070,1788156982.147818,0,71.07768824900268,IDLE
38.132941,1788156982.251690,0,71.18117227499897,IDLE
38.236836,1788156982.355585,0,71.28540869599965,IDLE
38.340642,1788156982.459391,0,71.38919137298944,IDLE
38.444287,1788156982.563035,0,71.49137237199466,IDLE
38.545704,1788156982.664453,0,71.5933910929889,IDLE
38.647637,1788156982.766385,0,71.69547057300224,IDLE
38.748944,1788156982.867692,0,71.79750821899506,IDLE
38.853396,1788156982.972145,0,71.90017809199344,IDLE
38.957103,1788156983.075851,0,72.00263575999998,IDLE
39.056070,1788156983.174818,0,72.10469294399081,IDLE
39.158657,1788156983.277406,0,72.20712933299365,IDLE
39.260506,1788156983.379254,0,72.30913075699937,IDLE
39.363554,1788156983.482303,0,72.41192348299955,IDLE
39.466298,1788156983.585046,0,72.51486067299265,IDLE
39.569509,1788156983.688258,0,72.6179687519907,IDLE
39.681508,1788156983.800256,0,72.72882664499048,IDLE
39.783823,1788156983.902571,0,72.83173920499394,IDLE
39.886958,1788156984.005706,0,72.93494350698893,IDLE
39.988988,1788156984.107737,0,73.03760712099029,IDLE
40.091326,1788156984.210075,0,73.13966202699521,IDLE
40.194729,1788156984.313477,0,73.24331235099817,IDLE
40.297055,1788156984.415803,0,73.34536777499306,IDLE
40.399248,1788156984.517996,0,73.44789331399079,IDLE
40.503575,1788156984.622324,0,73.55142832199635,IDLE
40.607680,1788156984.726429,0,73.65622345099109,IDLE
40.711529,1788156984.830278,0,73.76006779499585,IDLE
40.815448,1788156984.934196,0,73.86391343499417,IDLE
40.921014,1788156985.039763,0,73.96958708799502,IDLE
41.025065,1788156985.143814,0,74.07276470499346,IDLE
41.127635,1788156985.246384,0,74.17515218700282,IDLE
41.229458,1788156985.348207,0,74.27746233499784,IDLE
41.331928,1788156985.450677,0,74.38051665500097,IDLE
41.438695,1788156985.557444,0,74.487228907994,IDLE
41.542910,1788156985.661658,0,74.59135416099161,IDLE
41.650182,1788156985.768931,0,74.69865734399355,IDLE
41.753443,1788156985.872191,0,74.80209985199326,IDLE
41.859010,1788156985.977758,0,74.90751152099983,IDLE
41.964823,1788156986.083572,0,75.01337173099455,IDLE
42.067168,1788156986.185917,0,75.11550134100253,IDLE
42.170526,1788156986.289274,0,75.21879818099842,IDLE
42.273431,1788156986.392180,0,75.32182009400276,IDLE
42.375613,1788156986.494362,0,75.42394005598908,IDLE
42.478365,1788156986.597113,0,75.52635792699584,IDLE
